Auteur(s),Titre,Edition,Date,ISBN
Sapho Marchal,Costumes et parures khmèrs: d'après les Devatâ d'Angkor-Vat,L'Harmattan,1997,9782738451491
"['Parviz Navi', 'Amor Guidoum', 'Ecole polytechnique fédérale de Lausanne.']","Proceedings Of Third International Symposium On Wood Machining: Fracture Mechanics And Micromechanics Of Wood And Wood Composites With Regard To Wood Machining, 21-23 May, 2007 Lausanne (Switzerland)",Presses Polytechniques et Universitaires Romandes,2007,9782880747251
Omar Ndoye,Le sexe qui rend fou: approche clinique et thérapeutique,Présence Africaine,2003,9782708707511
"['Philip Tomlinson', 'Centre for Seventeenth-Century French Theatre.', 'University of Salford. European Studies Research Institute.']","French ""Classical"" Theatre Today: Teaching, Research, Performance",Rodopi,2001,9789042013551
"['Prosper Mérimée', 'Patrick Berthier']",Théâtre de Clara Gazul,Gallimard,2006,9782070376261
"['Michel de Montaigne', 'Denis Bertrand']",De l'expérience: chapitre 13 du livre III des Essais,Gallimard,2002,9782070421541
Scott Thornbury,Natural Grammar: [The Keywords Of English And How They Work: Intermediate To Advanced],Oxford University Press,2011,9780194386241
"['André Segond', 'Opéra de Marseille.']",Le roi d'Ys d'Edouard Lalo: opéra en trois actes et cinq tableaux ...: [programme],L'Opéra,1994,9782742701421
Phambu Ngoma-Binda,Philosophie et pouvoir politique en Afrique: la théorie inflexionnelle,Harmattan,2005,9782747572231
Jean-Louis Peytavin,"Alzheimer et démences séniles: mieux vivre avec un malade: comprendre les maladies, aider au quotidien, structures d'accueil et de vie",Prat,2003,9782858907151
Henry Chevallier,L'élevage des escargots: production et préparation du Petit-Gris,Editions du Point Vétérinaire,1992,9782863260951
Jean-Hubert Gailliot,La vie magnétique,Editions de l'Olivier,1999,9782879291451
"['Paul Demiéville', 'Jean-Pierre Diény']",Poèmes chinois d'avant la mort,L'Asiathèque,1984,9782901795261
Henri Ey,Schizophrénie: études cliniques et psychopathologiques,Synthélabo,1999,9782908602821
"['Jacques Chaussumier', 'Jacques Gohier', 'Lionel Houis', 'Marc Cobac']",Le Mans d'antan: Le Mans et ses environs à travers la carte postale ancienne,HC éd.,2008,9782911207891
Josette Desrues,"En coche, en tram, en bus: le Paris-Saint-Germain",Presses franciliennes,2005,9782952009171
Nora Roberts,Le rivage des brumes,Éd. Harlequin,2008,9782280838191
Georges Minois,Henry VIII,Fayard,1989,9782213023151
François Dubet,L'expérience sociologique,La Découverte,2007,9782707153531
Éric Legastelois,Adieu gadjo: roman,Actes sud,2001,9782742733651
Normand Chaurette,Scènes d'enfants: récit,Actes sud,2005,9782742755721
"['Sophie Dudemaine', 'Alain Ducasse', 'Françoise Nicol']",La cuisine de Ducasse par Sophie,Éd. de Noyelles,2006,9782848440071
Bertolt Brecht,La noce chez les petits bourgeois: suivi de quatre autres pièces en un acte,L'Arche,1983,9782851810151
"['John Donne', 'Yves Bonnefoy']",Trois des derniers poèmes,Yves Prié,1994,9782868100931
Annie Bonhomme,Les musiciens,Kaléidoscope,2006,9782877674911
Jacques Drillon,De la musique,Gallimard,1998,9782070753581
"['Hélène Cardin', 'Hervé Réquillard', 'GlaxoSmithKline France.']",Ma santé demain: 11 décideurs répondent,Éd. Jacob-Duvernet,2008,9782847241921
"['Per Denez', 'J. Ian Press']",Blue Like Blue Eyes Which Were Not My Own,Mouladurioù Hor Yezh,1993,9782868630681
Bryan Catley,Art Deco And Other Figures,Antique Collectors' Club,2003,9781851493821
Jocelyn Clerckx,La verification de l'elimination de l'arme chimique: essai d'analyse et d'evaluation de la Convention de Paris du 13 janvier 1993,Université de Rouen,2001,9782275020471
Raymonde G. Savard,Défis sociaux et transformation des sociétés,Éditions du Renouveau pédagogique,2002,9782761309561
Jane Sautière,Fragmentation d'un lieu commun,Verticales,2005,9782843351631
"['Jacqueline Aubenas', 'Communauté française de Belgique.', 'Belgium. Ministère de la communauté française.']",Filmer la danse,Ministère de la communauté française,2008,9782874156731
"['Guillaume Revel', 'Emmanuel de Boos']",L'armorial d'Auvergne Bourbonois et Forestz de Guillaume Revel,Créer,1998,9782909797281
Gisèle Clément-Dumas,"Des moines aux troubadours, IXe-XIIIe siècle: la musique médiévale en Languedoc et en Catalogne",Les Presses du Languedoc,2004,9782859982881
Hubert Laizé,"Aristote, Poétique",Presses Univ. de France,1999,9782130502111
Bernard Crick,"George Orwell, une vie",Climats,2003,9782841582341
Henri Queffélec,"La Boudeuse, ou, Le tour du monde de Bougainville",Seghers,1999,9782232100321
Thierry Warin,L'euro et l'entreprise: 2002 et après?,Litec,2001,9782711133451
"['Todd Alden', 'René Magritte']",René Magritte,Éditions de La Martinière,1999,9782732425061
"['John Le Carré', 'Mimi Perrin', 'Isabelle Perrin']",Single & Single: roman,Éd. du Seuil,2000,9782020419451
"['Yasushi Inoue', 'Rose-Marie Makino-Fayolle', 'Anne Rabinovitch']",Shirobamba,Gallimard,1994,9782070388011
"['Maintenon, Madame de', 'Pierre-E. Leroy', 'Marcel Loyau']",Comment la sagesse vient aux filles,Bartillat,1999,9782841001491
Nicole Bousseyroux,Pratiques de la lettre et usage de l'inconscient,Presses universitaires du Mirail,1993,9782858161881
Antoine Guilloppé,Akiko la curieuse: petit conte zen,Picquier Jeunesse,2016,9782877307451
"['James Fenimore Cooper', 'Mireille Zanuttini-Tansman', 'Frederick Wojtyczka']",Le dernier des mohicans,Hachette Jeunesse,1999,9782010155451
Molière,Le malade imaginaire,Livre de Poche,1998,9782253037941
France Huser,La maison du désir,Éditions du Seuil,1982,9782020062671
Georges Chapouthier,Les droits de l'animal,Presses universitaires de France,1992,9782130446781
"['Teresa, Mother Saint', 'Roger, frère']",La prière: fraîcheur d'une source,Bayard Éditions-Centurion,1998,9782227436701
Catherine Allègre-Papadacci,Broder le blanc,Solar,2004,9782263036811
Lionel Bellenger,Dictionnaire de la formation et du développement personnel: à l'usage des formateurs et des enseignants,ESF Éd.,1996,9782710111931
"['Raymonde Charlon', 'Claude Herlédan']",La cuisine de la chasse,"É́d. ""Ouest-France",1998,9782737321931
Réflexion sur l'enseignement de la philosophie.,Pour un avenir de l'enseignement de la philosophie,L'Harmattan,2001,9782747508421
Michel Polac,Fragments d'un autoportrait luxurieux,Textuel,2000,9782845970021
Philippe Prévost,La France et l'origine de la tragédie palestinienne: 1914-1922,Éditions de Paris,2007,9782851622051
"['Emily Bronte', 'Per Denez']",Krec'hioù an avel-yud,Mouladurioù Hor Yezh,2006,9782868631411
Naïma Zeghloul,Le monde des tajines,Édisud,2006,9782744905841
Corinne Pasqua,Inconsolation: roman,Desclée de Brouwer,1999,9782220039961
"['Gilbert Bals', 'André Chevalier']",Schéma cinématique des mécanismes,Marketing,1991,9782729891251
"['Murathan Mungan', 'Alfred Depeyrat']",Quarante chambers aux trois miroirs: récits,Actes Sud,2003,9782742744701
Nathalie Sarraute,Ouvrez,Gallimard,1999,9782070750511
"['Maike Hansen', 'Anne-Marie Johnson', 'Sylvie Poisson-Quinton']",CD-ROM initial 1,CLE International,2003,9782090322941
"['Elisabeth Gilles-Sebaoun', 'Charlotte Roederer']",La Bible des petits,Nathan,1999,9782092403051
Ignatiana Shongedza,KAGURUKUTE NGOMA YAMUTOTA,Harmattan,2007,9782296027381
André Léo,Légendes corréziennes,La Découvrance,2006,9782842654221
Jean-Louis Noyès,"Souvenirs d'un magnétiseur: De Gaulle, Sinatra, Gabin, Anquetil, Maurice Chevalier et les autres",Cherche midi,2002,9782862749631
Alain Labrousse,Sur les chemins des Andes: a la rencontre du monde indien,L'Harmattan,1989,9782858022861
Sigmund Freud,Totem et tabou,Gallimard,1993,9782070728961
Alain Venisse,"Moi, Méphisto",Grasset,2000,9782246598411
N. H. Kleinbaum,Le cercle des poètes disparus,Michel Lafon,1990,9782253058151
Isabelle N,"À Moscou, j'étais une nounou lubrique",Média 1000,2007,9782744806131
"['Yves Ledanseurs', 'Jean-Jacques Arvieu', 'Marc Spund']",La Mémoire au fil de l'âge,Bayard éditions,1997,9782227067431
Éric Fougère,Aspects de Loti: l'ultime et le lointain,Harmattan,2006,9782296015791
"['', 'et al']",Économie-droit: première STG: [livre professeur],Fontaine Picard,2007,9782744615511
Marc Debène,"Entreprise, intérêt général et marché unique: journée d'études du Centre de Recherches de Droit des Activités Économiques: 30 janvier 1992",Univ. de Rouen,1995,9782877750721
"['Michel Hulin', 'Nicole Hulin', 'Madeleine Veyssie']",Thermodynamique: cours et problemes resolus,Dunod,1996,9782100032631
"['Don Winslow', 'Freddy Michalski']",La griffe du chien: roman,Points,2007,9782757809631
Marc Adenot,La pharmacochimie,Presses universitaires de France,1999,9782130477761
Anne Brouillard,Le voyageur et les oiseaux,Seuil Jeunesse,2006,9782020857581
James Sallis,L'oeil du criquet,Gallimard,2003,9782070498451
"['Susan Au', 'Selma Jeanne Cohen']","Ballet And Modern Dance: 143 Illustrations, 24 In Colour",Thames & Hudson,2006,9780500203521
José Corredor-Matheos,Montserrat Gudiol: réalité et symbole,Éditions Cercle d'Art,1991,9782702203071
Lavanya Sankaran,Le tapis rouge: histoires de Bangalore: nouvelles,Mercure de France,2006,9782715225831
Gerard Genette,Discours du recit,Seuil,2007,9782757805381
Jacques Schlanger,La situation cognitive,Méridiens Kincksieck,1990,9782865632831
Jacques Jouet,Poèmes de métro,P.O.L.,2000,9782867448041
,Le faucon,Philippe Picquier,2005,9782877307741
Annie Lachéroy,L'astrologie par les couleurs,Dervy,1999,9782850766381
Daniel L. Araoz,Hypnose et sexologie: une thérapie des troubles sexuels,A. Michel,1994,9782226075451
"['Colette', 'Alain Brunet']",Gigi,Librairie générale française,2013,9782253109341
Fédération Équestre Française,Manuel d'attelage,Lavauzelle,1987,9782702501801
"['Guy Raedersdorf', 'Denis Meyer', 'Elektor (Périodique)']",306 circuits,"Publitronic-""Elektor",1999,9782866611071
"['Christine Sagnier', 'Jacques Dayan']",Châteaux forts,Beaumont,2004,9782840644521
Lucian Boia,L' homme face au climat: l'imaginaire de la pluie et du beau temps,Les Belles letres,2004,9782251442631
Edith Parlier,Temples de l'Inde méridionale (6.-8. siècles): la mise en scène des mythes,PUPS,2006,9782840504641
"['Jean-Luc Dubois', ""Université de Bordeaux 4. Centre d'économie du développement."", ""Université de Versailles Saint-Quentin-en-Yvelines. Centre d'économie et d'éthique pour l'environnement et le développement."", 'et al']",Pauvreté et développement socialement durable,Presses universitaires de Bordeaux,2003,9782867813221
CIRAD-Forêt (Organization),Barème de cubage,Cirad-Forêt,1995,9782876142091
"['Alain Miele', 'Laurence Lebaron-Jacobs']",Conduite à tenir face aux victimes d'un accident de criticité,EDP Sciences,2005,9782868838681
Guy Capet,Les 100 gares de l'Aube,Guéniot,2005,9782878253221
Alexandre Saint-Yves d'Alveydre,Mission de l'Inde en Europe,Dualpha,2006,9782915461831
James Stevenson,Le Lendemain de Noël,L'Ecole des loisirs,1991,9782211083461
"['Louisa Jones', 'Anita Ortiz']",Un art de vivre au jardin: les jardins provençaux de Michel Semini,Kubik éd.,2007,9782350830391
Gilles Bachelier,Le contentieux fiscal: [le contentieux du recouvrement et plus de 1000 décisions citées],EFE Éd.,1996,9782711127191
"['Gilles Martinez', 'Michel Martinez']",Saint-Cloud et les Clodoaldiens: 1789-1946,Editions Alan Sutton,2002,9782842538071
Jean Daujat,L'age du papier,Téqui,1984,9782852446571
Bertrand Hell,Entre chien et bup: faits et dits de chasse dans la France de l'Est,Maison des Sciences de l'Homme,1985,9782735101481
Jean-Tobie Okala,La décennie Biya au Cameroun: de la grâce à la disgrâce,Harmattan,1999,9782738441461
Anne-Catherine Leibenguth,"Je suis, donc je vis: le passage de la mort à la vie",ALTESS,2005,9782842430931
"['Centre François Mauriac de Malagar.', 'Société internationale des études mauriaciennes.']",Claude Mauriac,Société internationale des études mauraciennes,2006,9782914240871
Frédérique Thomas-Bion,Cadre juridique en EPS et recueil de jurisprudence,Ed. Revue EP. S,2002,9782867132551
"['Michel Marcheteau', 'Peter Gaskell, linguiste)']",L'anglais en réunion tout de suite!,Pocket,2009,9782266187541
"['Charles Dickens', 'Jean Muray']",Oliver Twist,Hachette Jeunesse,2003,9782013220361
Conseil National des Arts Culinaires,Picardie: produits du terroir et recettes traditionnelles,Michel,1999,9782226108401
Chabha Djouder,Secrets de beauté d'Orient,Flammarion,2006,9782082015141
"['Tae-Ok Park', 'Ho-Cheol Choi']","L'étincelle. 1, L'enfance",Vertige graphic,2008,9782849990551
"['Michèle Ferrand', 'Françoise Imbert', 'Catherine Marry']","L'excellence scolaire, une affaire de famille: le cas des normaliennes et normaliens scientifiques",L'Harmattan,1999,9782738482211
Gérard Ouimet,Psychologie du pouvoir organisationnel: la maîtrise des habiletés politiques,Chenelière-éducation,2008,9782765022251
"['Jean Dagen', 'Philippe Roger', 'Fondation Singer-Polignac.']","Un siècle de deux cents ans?: les XVIIe et XVIIIe siècles, continuités et discontinuités",Editions Desjonquères,2004,9782843210631
"['Jean Giono', 'Willi Glasauer', 'Alain Pewzner', 'Yves Rénier', 'Gallimard.']",L'homme qui plantait des arbres,Gallimard,1988,9782070310241
Colin-Thibert,Royal Cambouis,Gallimard,2002,9782070421411
Antoon Krings,Zaza au bain,L'école des loisirs,1998,9782211021951
Jean Bouinot,La ville intelligente: savoir attirer les entreprises,LGDJ,2004,9782275023991
Claude Lévy-Leboyer,La gestion des compétences,Ed. d'Organisation,2004,9782708119031
Albert Poisson,Théories & symboles des alchimistes: le grand oeuvre,Éditions traditionnelles,1991,9782713800931
Claude-Jacques Blanc,Psychiatrie et pensée philosophique: Intercritique et quête sans fin,Harmattan,1998,9782738468451
Michel Cornuz,Le protestantisme et la mystique: entre répulsion et fascination,Labor et Fides,2003,9782830910971
Yolaine Lido,Zones d'ombre,Les Presses du Midi,1999,9782878672411
Georges Simenon,Les volets verts,Librairie générale française,2004,9782253143031
Jacqueline de Romilly,Dictionnaire de littérature grecque ancienne et moderne,Presses universitaires de France,1999,9782130521341
"['James Albert Michener', 'Françoise Casaril', 'Guy Casaril']",La citadelle de glace,Presses pocket,1991,9782266042031
Malay Phcar,"Une enfance en enfer: Cambodge, 17 avril 1975-8 mars 1980",J'ai lu,2006,9782290352991
"Jacques Neirynck, économiste.",5 règles d'or pour développer votre entreprise,Ed. d'Organisation,2006,9782708136571
Michel Muller,Pas tout noir: textes de scène,Le Cherche midi,2002,9782749100081
Bogoljub Šijaković,"Bibliographia Praesocratica: A Bibliographical Guide To The Studies Of Early Greek Philosophy In Its Religious And Scientific Contexts With An Introduction Bibliography On The Historiography Of Philosophy (Over 8500 Authors, 17664 Entries From 1450 To 2000)",Belles Lettres,2001,9782251180021
Anne Meistersheim,L'aigle borgne,L'Harmattan,2000,9782738499721
Magalie Bonnet,Vivre âgé à domicile: entre autonomie et dépendance,L'Harmattan,2009,9782747507561
Piers Anthony,Constellations,L'Atalante,1995,9782841720101
Gabriel-Henri Blanc,"Autrefois, la table",Éd. le Sureau,2003,9782911328091
"['David Coulin', 'Philipp Bachmann', 'Ludwig Weh']",Chemin des cols alpins,Rossolis,2018,9782940365241
"['Renée Grimaud', 'Patrick de Wilde']",Les îles grecques,Chêne,2004,9782842775001
Nathalie Barberger,Voyage au bout de la nuit: Louis-Ferdinand Céline,Bordas,2004,9782047305461
"['E. Liu', 'Jacques Reclus', 'Tcheng Cheng']",L'Odyssée de Lao Ts'an,Gallimard/UNESCO,1990,9782070719501
"['Nathalie Bélineau', 'Sylvie Michelet']",Mer,Fleurus,2005,9782215083191
"['Peter Tremayne', 'Hélène Prouteau']",Les disparus de Dyfed,10-18,2008,9782264046581
"['Philippe Delaveau', 'Pierre Alechinsky']",Cent sous pour la reine Mab: choix de poèmes d'Elvire van der Kruk,Éd. de la Différence,2001,9782729113391
"['Lionel Heinic', 'Hervé Champollion', 'Barbara Thomas']",Liebenswerte Côte d'Azur und Gebiet des Var,"Ed. ""Ouest-France",1995,9782737317231
Méditerranées.,"Ville, cité et antiquité",L'Harmattan,2003,9782747536691
"['ToLitt', 'Alain Defossé']",Un hôpital d'enfer: roman,Phébus,2008,9782752902931
Didier Quester,Lady Commandement,Éd. Baleine,2001,9782842193041
Ernest Coeurderoy,Jours d 'exil: fragments,Éd. Cent pages,2003,9782906724761
"['Hermann', 'Yves H']",Le diable des sept mers. Première partie,Dupuis,2008,9782800142401
"['Sebastian Brant', 'Nicole Taubes']",La nef des fous: plus Les songes du seigneur Sebastian Brant,J. Corti,1997,9782714306111
"['Michel Bépoix', 'Clarisse Astier', 'Jean Arrouye', 'Bouches-du-Rhône (France). Conseil général. Espace 13.']","Face à face: Galerie d'Art du Conseil Général des Bouches-du-Rhône, Aix-en-Provence, 25 juin - 19 septembre 2004",Actes sud,2004,9782742752201
Jean-Luc Racine,Cachemire: au péril de la guerre,Autrement,2002,9782746702851
"['Sergio Zaccaron', 'Renato Pestriniero']",Faces: visages maquillés du carnaval de Venise,Herscher,2003,9782733503591
Paul Bouffartigue,Les cadres: fin d'une figure sociale,La Dispute,2001,9782843030451
Geneviève Saint-Martin,L'aigle,Pardès,1999,9782867141461
Thierry Lenain,Où es-tu?,Hachette,1999,9782013213981
Didier Liardet,Chapeau melon et bottes de cuir: au royaume de l'imaginaire,Yris,2005,9782912215161
Louis Calaferte,No man's land: récits,Éditions Gallimard,2005,9782070772681
"['Katharine Jordan Lochnan', 'et al']","Turner, Whistler, Monet",Tate Publishing,2004,9781854375001
"['Paul Dotte', 'SIFAM-Formations.']",Violences et agressions physiques à l'hôpital: self-sauvegarde compatible en milieux soignants,Sauramps,2005,9782840234241
Jacqueline Langot,Les comptes consolidés,Economica,1996,9782717831351
"['Christine Agache', ""Centre d'études et de recherches sur les qualifications (France)""]",Les identités professionnelles et leur transformation: le cas de la sidérurgie,Ed. l'Harmattan,1993,9782738423191
Françoise Marchesan,Une bouffée d'air frais: roman,Société des Écrivains,2006,9782748029031
"['P.-J. Proudhon', 'Dominique Sagot-Duvauroux']",Les majorats littéraires,Les Presses du Réel,2002,9782840660651
Lucile Clémens-Morisset,Les enfants du déluge,Les Presses du Midi,2000,9782878672701
"['Hans Mayer', 'Laurent Muhleisen']","Les Marginaux: Femmes, Juifs et homosexuels dans la littérature européenne",Albin Michel,1994,9782226064981
"['Edgar Box', 'Denise Meunier']",La mort l'aime chaud: roman,Librairie générale française,2002,9782253172611
Thierry Martin,Actualité de Cournot,J. Vrin,2005,9782711617821
Justin Kra,Et l'on chercha tortue,Editions Quart monde,1999,9782904972461
Mary Rayner,Gaston Porcinet et la marchande de glaces,Flammarion,1989,9782081722361
Stéphane-Joseph Piat,Histoire d'une famille,Téqui,1997,9782740305041
Jean Loup Julien,"La dépendance, faire face ensemble",Éditions Pascal,2007,9782350190341
Michel Voirol,Barbarismes et compagnie,Éditions Victoires,2006,9782351130001
Gérard Belloin,Mémoires d'un fils de paysans tourangeaux entré en communisme: l'enfance dure longtemps,L'Atelier,2000,9782708235311
Valérie Nègre,"L'ornement en serie: architecture, terre cuite et carton-pierre",Mardaga,2006,9782870099131
"['Duane Hanson', 'Thomas Buchsteiner', 'Otto Letze', 'Arken, Museum for Moderne Kunst', 'Weltkulturerbe Völklinger Hütte, Europäisches Zentrum für Kunst und Industriekultur', 'Helsingin kaupungin taidemuseo', 'et al']",Sculptures Of The American Dream,Arken,2007,9783775718851
"['Guy Faure', 'Arnaud Leveau', 'et al']",L'Asie du Sud-Est 2008: les évenements majeurs de l'année: sélection d'articles parus dans la revue Focus Asie du Sud-Est,Aux lieux d'être,2008,9782916063621
Jacques Sole,Les révolutions de la fin du XVIIIe siècle aux Amériques et en Europe: (1773-1804),Éditions du Seuil,2005,9782020690331
Michel Prévost,Retrouver Jean Prévost,Presses universitaires de Grenoble,2002,9782706110481
"['Christiane Guimbert', 'Martine Combaluzier']","La communication professionnelle par les cas: BTS assistant de direction, BTS assistant secrétaire trilingue, BTS assistant de gestion PME-PMI, 1re et 2e années",Bertrand-Lacoste,2002,9782735218011
Anne-Marie Keiser,"Économie et comptabilité: DESCF épreuve n° 2: annales corrigées, commentées et actualisées 2006",Editions Eska,2006,9782747210171
Saber Salama,L'acte de gouvernement: contribution à l'etude de la force majeure dans le contrat international,Bruylant,2001,9782802715191
"['Siân Berry', 'Aaron Blecha', 'Hélène Tallon']",50 [cinquante] gestes pour une maison & [et] un jardin écolos,Vigot,2008,9782711420131
"['Alain Yacou', 'Joseph Claude Augustin Crassous de Médeuil', 'Sylvie Denis']","Journaux de bord et de traite de Joseph Crassous de Médeuil: de La Rochelle à la côte de Guinée et aux Antilles, 1772-1776",CERC [Centre d'études et de recherches caraïbéennes],2001,9782845862081
"['Henri Vernes', 'Frank Leclercq', 'Gérald Forton']",La piste de l'ivoire: le roman,Ananké,2005,9782874181221
"Roger, prieur de Taizé.",Vivre l'aujourd'hui de Dieu,Éd. du Livre ouvert,1995,9782907429191
Agnès Rosenstiehl,Mimi Cracra en cuisine,Hachette,2003,9782012007871
"['Raoul Cauvin', 'Tony Laudec']",Terrain minets,Dupuis,2016,9782800125961
Elena Belaïa-Marc,"Variations sur le temps: d'une langue à l'autre, quelle temporalité?: actes de colloque, 1er et 2 décembre 2000",Université de Nantes,2005,9782869391901
Fred Vargas,Les jeux de l'amour et de la mort,Éditions du Masque,2010,9782702478561
Alain Finkielkraut,Comment peut-on être Croate?,Gallimard,1999,9782070728671
Bruno Heitz,Sardine express,Casterman,2005,9782203112711
"['Helen Levitt', 'Matthias Mengeling']",Helen Levitt,Hatje Cantz,2008,9783775721691
"Raymond Unwin, Sir",Town Planning In Practice: An Introduction To The Art Of Designing Cities And Suburbs,Princeton Architectural,1999,9781568980041
"['Alex Capus', 'Leila Pellissier']",Un avant-goût de printemps: Roman,Editions Autrement,2007,9782746709331
"['Sébastien Tézé', 'Voltaire', 'Vincent Colin', 'Jean Cosmos', 'Arnaud Denis', 'Jean-Pierre Leroux, acteur).', 'Jacques Ciron', 'Géraldine Azouélos', 'et al']",L' ingénu,Les Films d'un Jour [prod.],2010,9782296047891
Salah Mouhoubi,Le revenant,L'Harmattan,2002,9782747529921
Yves Hello,"Blancs, bleus, rouges: histoire politique de la Vendée 1789-2002",Gestion éditions,2004,9782845611191
Yves Aguila,Humour et politique en Amerique Latine,Presses Universitaires de Bordeaux,2006,9782867814051
"['Mathilde Touati', 'Natacha Wawrzyniak']",Le secret de Fatima,Éd. pour penser à l'endroit,2006,9782915125191
Jacques Mesrine,L'instinct de mort,Flammarion,2008,9782081221901
Michel Del Castillo,Une femme en soi: roman,Éd. du Seuil,1999,9782020363891
"['Jean-Eric de Cockborne', 'et al']","Préambule, principes, libre circulation des marchandises",Université de Bruxelles,1992,9782800410371
"['Alan Watts', 'Pierre-Henri Gonthier']",Amour et connaissance,Almora,2007,9782351180181
"['Cécile Aubry', 'Philippe Jozelon']",Le document secret,Hachette jeunesse,1994,9782012093171
Vittorio Fiocca,Italien,Libr. générale française,1991,9782253007821
"['Paul-Loup Sulitzer', 'Vladimir Colling']",Le conglomérat: roman,Librairie générale française,2006,9782253108931
"['Isobel Finn', 'Jack Tickle', 'Didier Debord']",La coccinelle qui ne voulait pas voler,Gründ,2003,9782700039641
Hripsimé Visser,Ed Van Der Elsken,Phaidon,2002,9780714893341
"['Prosper Mérimée', 'Marianne Jaeglé']",Carmen,Bordas,2004,9782047306321
Voltaire,"Zadig: ou, La destinée histoire orientale",Ellipses,1995,9782729895921
Jean Cantournet,Inventaire cartographique de la République centrafricaine,Société d'ethnographie,1987,9782901161301
Daniel Donnelly,WWW Design: Web Pages From Around The World,Rockport,2000,9781564966841
Wladimir Troubetzkoy,La figure du double,Didier érudition,1995,9782864602651
"['Eric Maria', 'Philippe Menétrey']",Le monolithe = der Monolith,Presses polytechniques et universitaires romandes,2002,9782880745141
"['Thierry Libaert', 'André de Marco']",Les tableaux de bord de la communication: indicateurs de pilotage et évaluation des résultats,Dunod,2006,9782100491261
Charles Pennequin,Ecrans,Voix,2002,9782914640091
Jean Defrasne,Histoire de la collaboration,Presses universitaires de France,1989,9782130427131
Martin Parr,Think Of England,Phaidon Press,2010,9780714844541
Pascal Pia,Baudelaire,Seuil,1995,9782020234931
"['John Gray', 'Anne Lavédrine']",Mars et Vénus sous la couette,J'ai lu,2014,9782290336731
"['H. H. Figulla', 'British Museum. Department of Western Asiatic Antiquities.']",Catalogue Of The Babylonian Tablets In The British Museum. Volume 1,Trustees of the British Museum,1961,9780714111391
Geneviève Ploquin,Objets et tableautins en paillettes,D. Carpentier,2000,9782841671601
Dominique Plihon,"Les désordres de la finance: crises boursières, corruption, mondialisation",Encyclop0aedia Universalis,2004,9782852297821
"['Mary Nooter Roberts', 'Allen F. Roberts']",Luba,5 continents,2007,9788874392971
"['Odile Walrave', 'Christelle Quillet', 'Pierrette Crouzet']","La restauration à la Bibliothèque nationale de France: manuscrits, monnaies, reliures, photographies, estampes",Bibliothèque nationale de France,2003,9782717722451
Patrick de Gmeline,"Tom Morel, héros des Glières: document",Presses de la Cité,2009,9782258076471
Michèle Kahn,Le roman de Séville,Rocher,2005,9782268056241
Nicole Gadrey,TRAVAIL ET GENRE - Approches croisées,Harmattan,2001,9782747510011
Jeannine Marroncle,"Reprendre souffle: un métier, une foi",Nouvelle cité,1990,9782853132251
"['Pierre Mazataud', 'Joël Damase']",À la découverte de Clermont et de ses environs,Éd. du Miroir,2002,9782911268311
Michel Vergé-Franceschi,La mer,Oxus,2008,9782848980881
"['Roger Kaller', 'Jean-Marc Allenbach']",Traction électrique,Presses polytechniques et universitaires romandes,1999,9782880742751
"['Jean-Louis Cohen', 'Auguste Perret', 'Gustave Perret']","Encyclopédie Perret: [exposition coproduite par l'Institut Français d'Architecture, la Ville du Havre et la Galleria Civica d'Arte Moderna de Turin]",Monum,2002,9782281191721
Jean-Pierre Giudicelli de Cressac Bachelerie,"Pour la rose rouge et la croix d'or: alchimie, hermétisme et ordres initiatiques",Éd. le Mercure dauphinois,2007,9782913826861
"['Jirō Asada', 'Corinne Atlan']",Le dragon à deux têtes: roman,P. Picquier,2008,9782809700671
"['Nicole Ransan', 'François Ransan']",Les successions: aspects civils et fiscaux,LGDJ,1995,9782275003931
"['Jean-Louis Hemptinne', 'Alexandra Magro', 'Michael Majerus']","Les coccinelles: description, moeurs, reproduction, cohabitation, observation",Delachaux et Niestlé,2005,9782603013281
"['Charlie Waite', 'Pierre Gascar']",Paysages en France,Arthaud,1988,9782700307221
Jean-Louis Leccia,Les armes à feu corses,Crépin-Leblond,2006,9782703002901
Françoise Bourdin,Comme un frère,Belfond,1999,9782714435491
Henri Suhamy,"Première leçon sur ""As you like it"" de William Shakespeare",Ellipses,1997,9782729857851
"['Giuseppe Bardari', 'André Segond', 'Gaetano Donizetti']",Maria Stuarda: opéra en trois actes,Opéra de Marseille,2005,9782742755691
Jean Bensimon,Récits de l'autre rive,L'Harmattan,2007,9782296031791
Alain Streck,LES PROVERBES ET LA VIE,Harmattan,2008,9782296053441
"['Christiane Zimmerer', 'Francine Villeneuve']","Le Clavier, savoir et savoir-faire",Éd. Bertrand-Lacoste,1990,9782735204731
Danièle Bott,Chanel,Ramsay,2010,9782841147601
André Gardies,L'Espace au cinéma,Méridiens Klincksieck,1993,9782865633111
Christian Jacq,La fiancée du Nil,A vue d'oeil,2008,9782846663601
Hervé Bougel,Petites fadaises à la fenêtre,La Chambre d'échos,2004,9782913904231
Éric Momus,Je hais Noël,Éd. du Rocher,2007,9782268063591
"['Georges Drouin', 'Jean-Paul Betbèze']",Les 100 Mots Des Services,Presses universitaires de France,2008,9782130567981
"['Dalaï Lama', 'Laurence Fritsch']",La puissance de la compassion,Presses Pocket,2008,9782266074841
Denise Bombardier,Et quoi encore!,Librairie générale française,2006,9782253117841
Yveline Gimbert,Le retour de Rose,Ed. De Borée,2002,9782844941251
